NAME,TYPE EN,STATIONS
LA FONTAINE CENTER OF CONTEMPORARY ART,ART CENTRES AND GALLERIES,MANAMA
MUHAMMAD BIN FARIS,ART CENTRES AND GALLERIES,MUHARRAQ
BU MAHER FORT,FORTS,MUHARRAQ
DELMON POTTERY FACTORY,HANDICRAFT CENTERS,A'ALI
ABDULLA AL ZAYED HOUSE FOR BAHRAIN PRESS HERITAGE,HISTORICAL PLACES,MUHARRAQ
SHAIKH KHALIFA BIN SALMAN HOUSE,HISTORICAL PLACES,MUHARRAQ
BAHRAIN ROYAL EQUESTRIAN AND ENDURANCE FEDERATION,HORSE STABLES,ZALLAQ
CAMEL RACE COURSE,HORSE STABLES,ZALLAQ
AL REEF ISLAND,LANDMARKS,MANAMA CENTRE
BAB AL BAHRAIN,LANDMARKS,MANAMA CENTRE
DIYAR AL MUHARRAQ,LANDMARKS,AMWAJ
BAHRAIN NATIONAL MUSEUM,MUSEUMS,MANAMA
AL RAWAQ FINE ARTS,ART CENTRES AND GALLERIES,MANAMA CENTRE
NATIONAL THEATRE OF BAHRAIN,ART CENTRES AND GALLERIES,MANAMA
CULTURAL HALL - BAHRAIN AUTHORITY FOR CULTURE AND ANTIQUITIES,CULTURAL CENTERS,MANAMA
MUHARRAQ TRADITIONAL CENTER,CULTURAL CENTERS,MUHARRAQ
ARAD FORT,FORTS,MUHARRAQ
A?ALI POTTERY MAKING,HANDICRAFT CENTERS,A'ALI
BAHRAINI PRODUCTIVE FAMILIES,HANDICRAFT CENTERS,MANAMA CENTRE
HABIB ALI POTTERY FACTORY,HANDICRAFT CENTERS,A'ALI
MANAMA BAZAR,HANDICRAFT CENTERS,MANAMA CENTRE
NADA POTTERY FACTORY,HANDICRAFT CENTERS,A'ALI
AL JASRAH HOUSE,HISTORICAL PLACES,JASRAH
AL KHAMIS MOSQUE,HISTORICAL PLACES,ALKHAMIS
BIN MATAR BUILDING,HISTORICAL PLACES,MUHARRAQ
KURAR HOUSE,HISTORICAL PLACES,MUHARRAQ
BAB AL BAHRAIN MARKET,LANDMARKS,MANAMA CENTRE
BAHRAIN INTERNATIONAL ENDURANCE VILLAGE,LANDMARKS,ZALLAQ
BAHRAIN NATIONAL MONUMENT,LANDMARKS,ZALLAQ
QALAAT AL BAHRAIN MUSEUM,MUSEUMS,MANAMA CENTRE
AYN AL KHADHRA',SPRINGS,JASRAH
HIND GALLERY,ART CENTRES AND GALLERIES,MUHARRAQ
ARAB REGIONAL CENTRE FOR WORLD HERITAGE - BAHRAIN AUTHORITY FOR CULTURE AND ANTIQUITIES,CULTURAL CENTERS,MANAMA
CENTER CULTURAL FRENCH BAHRAINI,CULTURAL CENTERS,MUHARRAQ
SHAIKH EBRAHIM BIN MUHAMMAD AL KHALIFA CENTER FOR CULTURE AND RESEARCH,CULTURAL CENTERS,MUHARRAQ
BAHRAIN FORT,FORTS,KURRANAH
A?ALI POTTERY FACTORY,HANDICRAFT CENTERS,A'ALI
AL JASRAH HANDICRAFT CENTER,HANDICRAFT CENTERS,JASRAH
WOSHAR ANTIGUES AND HANDICRAFTS,HANDICRAFT CENTERS,AL HASSAM
BAIT ALSHAIKH ISA BIN ALI,HISTORICAL PLACES,MUHARRAQ
EBRAHIM ALORAYEDH POET HOUSE,HISTORICAL PLACES,MANAMA
MANAMA MEMORY - BAIT KHALAF,HISTORICAL PLACES,MANAMA CENTRE
AMWAJ ISLANDS,LANDMARKS,AMWAJ
BAHRAIN INTERNATIONAL CIRCUIT - FORMULA ONE,LANDMARKS,ZALLAQ
DILMUNIA ISLAND,LANDMARKS,AMWAJ
GRAVITY INDOOR SKYDIVING,LANDMARKS,ZALLAQ
HERAF AL DIYAR,MUSEUMS,MUHARRAQ
AYN ADHARI,SPRINGS,ALKHAMIS
AYN ALRAHA,SPRINGS,ALKHAMIS
AYN JAMALAH,SPRINGS,ALKHAMIS
THE AVENUES,MALLS,MANAMA
SEEF MALL,MALLS,KURRANAH
CITY CENTER,MALLS,MANAMA CENTRE
ALAREEN ,ZOOS,ZALLAQ
BAHRAIN INTERNATIONAL CIRCUIT - FORMULA ONE,INTERTAINMENTS,ZALLAQ
AL DANA AMPHITHEATRE,ART CENTRES AND GALLERIES,ZALLAQ
THE LOST PARADISE OF DILMUN WAER PARK,INTERTAINMENTS,ZALLAQ
AL JAZAIR PUBLIC BEACH,BEACHES,MANAMA
AL KHAMIS MOSQUE,LANDMARKS,MUHARRAQ
NORDIC RESORT,RESORTS,MUHARRAQ
RAMLI MALL,MALLS,A'ALI
ALBAIK,RESTAURANTS,MUHARRAQ
ALSHOALA,RESTAURANTS,MUHARRAQ
JUMPUP,INTERTAINMENTS,ZALLAQ
SAAR MALL,MALLS,ZALLAQ
NAKHEEL CENTER,MALLS,MANAMA CENTRE
BRITISH CLUB,SOCIAL CLUBS,MANAMA CENTRE
AL RAAI ,RESTAURANTS,AMWAJ
SABAR AYOUB ,RESTAURANTS,MANAMA
ALSEEF FISH,RESTAURANTS,MANAMA CENTRE
HAUS RESTAURANT AND LOUNGE,RESTAURANTS,MANAMA
CITRUS ALL DAY DINING,RESTAURANTS,MANAMA
YA HALA,RESTAURANTS,MUHARRAQ
CHOICES,RESTAURANTS,MUHARRAQ
AREESH RESTAURANT,RESTAURANTS,A'ALI
TEA CLUB,RESTAURANTS,MANAMA CENTRE
ROSSO,RESTAURANTS,A'ALI
WU RESTAURANT AND LOUNGE,RESTAURANTS,MANAMA CENTRE
CELLILOID AMWAJ,RESTAURANTS,A'ALI
VERANDA RESTAURANT,RESTAURANTS,JASRAH
LEILA,RESTAURANTS,ALKHAMIS
NINO,RESTAURANTS,MUHARRAQ
HAUS RESTAURANT AND LOUNGE,RESTAURANTS,MUHARRAQ
DOSE CAF�,RESTAURANTS,MANAMA CENTRE
JUMAMI,RESTAURANTS,ZALLAQ
OLD ANGUS,RESTAURANTS,ZALLAQ
HELIOS,RESTAURANTS,MANAMA CENTRE
NEREUS BAKERY AND CAF�,RESTAURANTS,JASRAH
LEZZET,RESTAURANTS,MUHARRAQ
HANEEN,RESTAURANTS,MANAMA
ARGAN MOROCCAN RESTAURANT,RESTAURANTS,MUHARRAQ
ZAITOON RESTAURANT,RESTAURANTS,MUHARRAQ
LANTERNS,RESTAURANTS,KURRANAH
SAFFRON,RESTAURANTS,A'ALI
HAUS RESTAURANT AND LOUNGE,RESTAURANTS,JASRAH
